Agemos,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
147.5,14.79405616,15.09237707,15.5949483,16.58050415,17.97544299,19.87512275,21.23134038,22.35441912,24.47397382,26.2910063
148.5,14.83162791,15.13154651,15.63679762,16.62754449,18.02960765,19.93835804,21.30044717,22.42791427,24.55434332,26.37553258
149.5,14.86962583,15.17113234,15.67904455,16.67493692,18.08403868,20.001699,21.36951141,22.50122197,24.63419572,26.45920106
150.5,14.90804168,15.2111263,15.72168083,16.72267307,18.1387275,20.06513669,21.43852405,22.57433325,24.71352325,26.54200665
151.5,14.94686707,15.25152001,15.76469808,16.77074454,18.19366555,20.12866232,21.5074763,22.64723955,24.79231881,26.62394515
152.5,14.98609343,15.29230496,15.80808782,16.81914286,18.24884431,20.1922673,21.57635964,22.7199327,24.87057587,26.7050132
153.5,15.0257121,15.33347251,15.85184148,16.86785954,18.3042553,20.25594317,21.64516586,22.79240491,24.9482886,26.78520835
154.5,15.06571426,15.37501389,15.89595038,16.91688599,18.35989003,20.31968165,21.71388701,22.86464879,25.02545175,26.86452902
155.5,15.10609095,15.41692023,15.94040572,16.96621361,18.41574009,20.38347461,21.78251541,22.93665733,25.10206075,26.94297451
156.5,15.14683307,15.4591825,15.98519864,17.01583373,18.47179706,20.44731409,21.85104367,23.0084239,25.17811163,27.02054498
157.5,15.1879314,15.50179159,16.03032014,17.06573761,18.52805255,20.51119228,21.91946467,23.07994228,25.25360108,27.09724149
158.5,15.22937658,15.54473823,16.07576115,17.11591649,18.5844982,20.57510153,21.98777156,23.15120662,25.32852641,27.173066
159.5,15.27115913,15.58801305,16.12151248,17.16636153,18.64112567,20.63903434,22.05595776,23.22221145,25.4028856,27.24802132
160.5,15.31326943,15.63160658,16.16756484,17.21706384,18.69792663,20.70298336,22.12401698,23.2929517,25.47667722,27.32211115
161.5,15.35569774,15.67550919,16.21390888,17.26801449,18.75489278,20.76694139,22.19194317,23.36342268,25.54990054,27.39534011
162.5,15.39843418,15.71971118,16.2605351,17.31920447,18.81201584,20.83090139,22.25973057,23.43362008,25.62255542,27.46771366
163.5,15.44146877,15.7642027,16.30743394,17.37062472,18.86928753,20.89485646,22.32737368,23.50353999,25.6946424,27.53923819
164.5,15.48479139,15.80897382,16.35459573,17.42226614,18.92669959,20.95879983,22.39486727,23.57317887,25.76616263,27.60992094
165.5,15.52839182,15.85401448,16.40201071,17.47411956,18.98424378,21.02272489,22.46220636,23.64253356,25.83711794,27.67977007
166.5,15.57225971,15.89931451,16.44966902,17.52617573,19.04191185,21.08662518,22.52938625,23.71160129,25.90751079,27.74879463
167.5,15.6163846,15.94486363,16.49756071,17.57842539,19.09969557,21.15049434,22.5964025,23.78037969,25.97734428,27.81700453
168.5,15.66075591,15.99065148,16.54567574,17.63085916,19.15758672,21.21432619,22.66325092,23.84886673,26.04662217,27.88441062
169.5,15.70536296,16.03666757,16.59400398,17.68346764,19.21557707,21.27811465,22.7299276,23.91706081,26.11534887,27.95102462
170.5,15.75019496,16.0829013,16.64253518,17.73624136,19.27365839,21.34185379,22.79642886,23.98496068,26.18352944,28.01685913
171.5,15.79524102,16.129342,16.69125904,17.78917078,19.33182247,21.40553781,22.86275131,24.05256549,26.25116959,28.08192768
172.5,15.84049013,16.17597888,16.74016514,17.84224628,19.39006106,21.46916104,22.92889179,24.11987476,26.31827569,28.14624467
173.5,15.8859312,16.22280106,16.78924297,17.8954582,19.44836594,21.53271791,22.99484741,24.18688841,26.38485476,28.20982542
