Date,Open,High,Low,Close,Volume,Adj Close
2005-08-24,81.53,82.40,81.23,81.32,4417600,69.13
2005-08-23,82.70,83.14,81.60,82.03,4000300,69.73
2005-08-22,82.75,83.35,81.85,82.60,5157200,70.22
2005-08-19,81.36,83.30,81.36,82.76,6481000,70.35
2005-08-18,81.10,82.00,80.80,81.15,3713300,68.98
2005-08-17,81.40,81.94,80.84,81.30,4853000,69.11
2005-08-16,82.07,82.43,81.09,81.30,4407400,69.11
2005-08-15,81.90,82.94,81.61,82.50,3431100,70.13
2005-08-12,82.15,82.58,82.06,82.19,4378200,69.87
2005-08-11,81.93,82.75,81.62,82.66,4570400,70.27
2005-08-10,83.65,84.01,81.97,82.02,5402400,69.72
2005-08-09,83.40,83.95,82.94,83.50,3793500,70.98
2005-08-08,83.41,83.89,83.02,83.36,4424300,70.86
2005-08-05,82.75,83.74,82.73,83.36,3714600,70.69
2005-08-04,83.75,83.89,82.98,83.12,5249900,70.49
2005-08-03,83.31,84.20,83.11,84.06,4256200,71.28
2005-08-02,83.27,83.86,83.04,83.31,5380700,70.65
2005-08-01,83.00,83.85,82.85,83.43,3664300,70.75
2005-07-29,83.30,83.95,83.22,83.46,4330300,70.78
2005-07-28,83.55,83.97,83.27,83.80,6189700,71.06
2005-07-27,83.80,84.13,82.81,83.87,4862200,71.12
2005-07-26,84.15,84.35,83.85,84.12,4542900,71.34
2005-07-25,83.98,84.52,83.92,84.20,4457800,71.40
2005-07-22,83.98,84.63,83.86,84.44,4570400,71.61
2005-07-21,84.60,84.95,83.40,84.40,8265300,71.57
2005-07-20,83.20,84.96,82.99,84.60,9323200,71.74
2005-07-19,84.72,85.11,83.70,83.70,14149700,70.98
2005-07-18,81.99,83.94,81.68,81.81,8705600,69.38
2005-07-15,82.43,82.75,81.52,82.38,7644100,69.86
2005-07-14,82.00,82.67,82.00,82.42,8546200,69.89
2005-07-13,81.16,81.75,81.16,81.45,11340000,69.07
2005-07-12,79.20,80.49,79.18,80.04,10945500,67.88
2005-07-11,79.40,79.52,78.52,78.96,7186700,66.96
2005-07-08,77.38,79.52,77.14,79.30,13440500,67.25
2005-07-07,75.15,77.53,75.00,77.38,10757200,65.62
2005-07-06,74.80,76.15,74.40,75.81,8009300,64.29
2005-07-05,74.38,74.97,74.16,74.79,5181800,63.42
2005-07-01,74.30,75.33,74.30,74.67,4353100,63.32
2005-06-30,74.80,75.49,74.07,74.20,6127000,62.92
2005-06-29,75.26,75.68,74.62,74.73,5519100,63.37
2005-06-28,73.83,75.30,73.45,75.30,8188800,63.86
2005-06-27,74.01,74.77,73.50,73.88,6489800,62.65
2005-06-24,75.17,75.40,74.00,74.01,10792100,62.76
2005-06-23,76.81,76.97,75.06,75.41,7766700,63.95
2005-06-22,76.83,77.49,76.67,77.23,5646300,65.49
2005-06-21,76.70,77.00,76.11,76.41,5339100,64.80
2005-06-20,76.03,76.98,75.57,76.55,3745600,64.92
2005-06-17,77.70,77.73,76.38,76.39,8593800,64.78
2005-06-16,76.40,77.25,76.31,77.05,7840000,65.34
2005-06-15,75.70,76.50,75.15,76.30,7103600,64.70
2005-06-14,75.05,75.43,74.73,74.89,4314900,63.51
2005-06-13,74.50,75.93,74.45,75.05,5715700,63.64
2005-06-10,74.75,75.05,74.10,74.77,4895800,63.41
2005-06-09,74.58,75.47,74.23,74.93,4423200,63.54
2005-06-08,75.04,75.40,74.63,74.80,4280000,63.43
2005-06-07,75.00,76.09,75.00,75.04,5226600,63.64
2005-06-06,75.80,75.90,74.92,75.00,5978600,63.60
2005-06-03,77.06,77.10,75.74,75.79,6149900,64.27
2005-06-02,76.75,77.39,76.68,77.35,4025600,65.59
2005-06-01,75.57,77.50,75.57,76.84,7380600,65.16
2005-05-31,77.30,77.41,75.50,75.55,6419000,64.07
2005-05-27,77.11,77.24,76.53,77.10,3163900,65.38
2005-05-26,76.45,77.41,76.29,77.14,5832000,65.42
2005-05-25,75.42,76.03,75.17,76.00,5483400,64.45
2005-05-24,76.14,76.51,75.56,75.81,5660700,64.29
2005-05-23,76.30,76.95,76.00,76.51,4759800,64.88
2005-05-20,77.28,77.28,76.36,76.41,6329800,64.80
2005-05-19,76.50,77.64,76.37,77.16,7030400,65.43
2005-05-18,75.00,76.82,74.69,76.36,10309600,64.76
2005-05-17,73.93,74.43,73.33,74.29,5135600,63.00
2005-05-16,73.09,74.49,73.09,74.34,5501500,63.04
2005-05-13,72.53,73.86,72.52,73.16,7150600,62.04
2005-05-12,73.53,73.80,72.50,72.62,6061900,61.58
2005-05-11,73.63,73.69,72.51,73.28,6915700,62.14
2005-05-10,74.75,74.76,73.04,73.30,7982200,62.16
2005-05-09,75.26,75.46,74.71,74.98,5616700,63.58
2005-05-06,75.56,75.92,74.97,75.26,7750300,63.82
2005-05-05,78.00,78.11,75.33,75.50,12371800,63.86
2005-05-04,76.60,77.20,76.50,77.08,5512300,65.19
2005-05-03,76.78,76.96,75.93,76.47,6196300,64.68
2005-05-02,76.88,77.29,76.03,76.51,7232500,64.71
2005-04-29,77.05,77.08,75.91,76.38,8147700,64.60
2005-04-28,77.05,77.11,75.65,75.91,8629200,64.20
2005-04-27,75.60,77.18,75.50,77.05,11631400,65.17
2005-04-26,74.68,76.98,74.65,75.43,12484300,63.80
2005-04-25,75.10,75.72,74.05,74.61,10219400,63.10
2005-04-22,74.23,74.70,73.26,74.21,10984400,62.77
2005-04-21,73.00,74.10,72.80,74.03,16224400,62.61
2005-04-20,75.48,75.87,71.85,72.01,20366300,60.90
2005-04-19,76.98,77.20,75.25,75.48,9259900,63.84
2005-04-18,77.15,77.75,76.14,76.65,13255000,64.83
2005-04-15,79.00,79.66,76.33,76.70,27906300,64.87
2005-04-14,84.51,85.41,83.47,83.64,10421200,70.74
2005-04-13,85.76,85.97,84.24,84.57,7090700,71.53
2005-04-12,85.90,86.24,85.17,85.75,8429700,72.53
2005-04-11,87.35,87.56,86.09,86.20,8296500,72.91
2005-04-08,88.28,88.46,87.50,87.60,5179200,74.09
2005-04-07,89.00,89.20,88.10,88.44,6355700,74.80
2005-04-06,89.05,89.38,88.71,89.00,7836800,75.27
2005-04-05,90.23,90.33,89.26,89.57,4568400,75.76
2005-04-04,90.08,90.62,89.77,90.32,3737800,76.39
2005-04-01,91.49,91.76,90.04,90.44,5721200,76.49
2005-03-31,90.46,91.41,90.22,91.38,4418600,77.29
2005-03-30,90.32,90.88,90.32,90.68,5253900,76.69
2005-03-29,90.74,91.07,90.18,90.60,6070400,76.63
2005-03-28,90.71,91.63,90.62,91.04,4088900,77.00
2005-03-24,90.80,91.55,90.70,90.70,4577100,76.71
2005-03-23,89.97,91.17,89.82,90.52,5472100,76.56
2005-03-22,89.61,90.34,89.26,89.50,4452500,75.70
2005-03-21,89.42,90.28,89.27,89.51,4402400,75.71
2005-03-18,89.86,89.90,89.09,89.28,7541500,75.51
2005-03-17,90.49,90.68,89.70,89.86,5562100,76.00
2005-03-16,90.74,91.40,90.25,90.65,5065300,76.67
2005-03-15,92.00,92.27,91.20,91.38,3663100,77.29
2005-03-14,91.50,92.04,91.50,91.90,3935500,77.73
2005-03-11,92.25,92.41,91.20,91.51,4494300,77.40
2005-03-10,92.35,92.80,92.09,92.41,3422500,78.16
2005-03-09,92.02,93.00,92.01,92.35,4511200,78.11
2005-03-08,91.70,92.56,91.70,92.13,5087800,77.92
2005-03-07,92.35,92.51,91.59,91.60,7046900,77.47
2005-03-04,92.94,93.18,92.36,92.37,4754000,78.12
2005-03-03,93.15,93.21,92.20,92.41,4037800,78.16
2005-03-02,92.75,93.73,92.75,92.92,4467400,78.59
2005-03-01,92.64,93.43,92.59,93.30,3819900,78.91
2005-02-28,92.53,92.76,92.41,92.58,4949800,78.30
2005-02-25,92.35,92.80,92.29,92.80,4078500,78.49
2005-02-24,91.98,93.09,91.85,92.64,4153900,78.35
2005-02-23,92.29,92.44,91.55,92.10,5622800,77.90
2005-02-22,92.67,93.50,92.23,92.32,4825100,78.08
2005-02-18,93.75,94.25,92.90,93.27,4265300,78.89
